Product,Ingredients,Type,# of Ingredients,Actives,Properties,Caution,Most Similar,Similarity Score,in_degree,incoming_products,anchor_score,cluster
Triple Lipid Restore,"['AQUA', 'DIMETHICONE', 'HYDROGENATED POLYISOBUTENE', 'GLYCERIN', 'CHOLESTEROL', 'C12-15 ALKYL BENZOATE', 'CERAMIDE 3', 'HELIANTHUS ANNUUS SEED OIL UNSAPONIFIABLES/SUNFLOWER SEED OIL UNSAPONIFIABLES', 'BIS-PEG-18 METHYL ETHER DIMETHYL SILANE', 'SODIUM POLYACRYLATE', 'PEG-10 DIMETHICONE', 'NYLON-12', 'LAURYL PEG-9 POLYDIMETHYLSILOXYETHYL DIMETHICONE', 'DIMETHICONE/PEG-10/15 CROSSPOLYMER', 'PHENOXYETHANOL', 'DISTEARDIMONIUM HECTORITE', 'HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID', 'AMMONIUM POLYACRYLOYLDIMETHYL TAURATE', 'CHLORPHENESIN', 'CAPRYLYL GLYCOL', 'PEG/PPG-18/18 DIMETHICONE', 'PROPYLENE CARBONATE', 'DISODIUM EDTA', 'ACRYLONITRILE/METHYL METHACRYLATE/VINYLIDENE CHLORIDE COPOLYMER', 'ADENOSINE', 'DIPROPYLENE GLYCOL', 'LAVANDULA ANGUSTIFOLIA OIL/LAVENDER OIL', 'ROSMARINUS OFFICINALIS LEAF OIL/ROSEMARY LEAF OIL', 'T-BUTYL ALCOHOL', 'MENTHA PIPERITA OIL/PEPPERMINT OIL', 'SODIUM CITRATE', 'LINALOOL', 'ISOBUTANE', 'CERAMIDE EOP', 'BHT', 'TOCOPHEROL', 'LIMONENE', 'D182888/1']",moisturizer,38,"[['GLYCERIN'], 'CERAMIDE 3', 'CERAMIDE EOP']","['humectant', 'ceramides']",[],Lacome Advanced Genifique Face Serum,16.9811320754717,2,"['Armani Luminous Silk Foundation', 'Cle de Peau The Foundation ']",0.5,1
ErnoLaszlo Timeless Serum,"['AQUA', 'DIMETHICONE', 'PROPYLENE GLYCOL', 'GLYCERIN', 'DIMETHICONE/PEG-10/15 CROSSPOLYMER', 'DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER', 'COCO-CAPRYLATE/CAPRATE', 'BUTYLENE GLYCOL', 'PHENOXYETHANOL', 'HYDROXYACETOPHENONE', 'SODIUM CHLORIDE', 'VINYL DIMETHICONE/LAURYL DIMETHICONE CROSSPOLYMER', 'LIMNANTHES ALBA (MEADOWFOAM) SEED OIL', 'PANTHENOL', 'TOCOPHERYL ACETATE', 'ALLANTOIN', 'DIPROPYLENE GLYCOL', 'CARBOMER', 'PUNICA GRANATUM EXTRACT', 'POLYSORBATE 20', 'SODIUM CITRATE', 'MAGNESIUM ASCORBYL PHOSPHATE', 'PALMITOYL TETRAPEPTIDE-7', 'TOCOPHEROL', 'CARRAGEENAN', 'PALMITOYL TRIPEPTIDE-1', 'POTASSIUM SORBATE', 'ACETYL HEXAPEPTIDE-8', 'MARIS SAL (SEA SALT/SEL MARIN)', 'PARFUM (FRAGRANCE)', 'LIMONENE']",serum,31,"[['MAGNESIUM ASCORBYL PHOSPHATE'], ['GLYCERIN'], 'PALMITOYL TETRAPEPTIDE-7', 'PALMITOYL TRIPEPTIDE-1', 'ACETYL HEXAPEPTIDE-8']","['vitamin c', 'humectant', 'peptides']",['DO NOT use with AHA/BHA'],Inkey List Hyalouronic Acid,22.22222222222222,0,,0.0,2
Eve Lom Radiance Repair Serum,"['AQUA', 'GLYCERETH-26', 'GLYCERIN', 'XYLITYLGLUCOSIDE', 'POLYSORBATE 20', 'POLYACRYLATE CROSSPOLYMER-6', 'PHENOXYETHANOL', 'ANHYDROXYLITOL', 'CAESALPINIA SPINOSA FRUIT EXTRACT', 'SODIUM CITRATE', 'LECITHIN', 'PENTYLENE GLYCOL', 'CITRIC ACID', 'PANICUM MILIACEUM (MILLET) SEED EXTRACT', 'XYLITOL', 'HYDROLYZED HYALURONIC ACID', 'KAPPAPHYCUS ALVAREZII EXTRACT', 'ALCOHOL', 'LACTIC ACID', 'RETINOL', 'AVENA SATIVA (OAT) KERNEL EXTRACT', 'LACTOBACILLUS FERMENT', 'CAPRYLYL GLYCOL', 'DECYLENE GLYCOL', 'SODIUM BENZOATE', 'POTASSIUM PHOSPHATE', 'TANNIC ACID', 'BIOFLAVONOIDS', 'CHLOROGENIC ACIDS', 'GLUCOSE', 'ROSA DAMASCENA FLOWER OIL', 'POTASSIUM SORBATE', 'BHT', 'HYDROLYZED GARDENIA FLORIDA EXTRACT', 'MALTODEXTRIN', 'BHA', 'TOCOPHEROL', 'ASCORBYL PALMITATE', 'CITRONELLOL', 'GERANIOL']",serum,40,"[['ASCORBYL PALMITATE'], ['RETINOL'], ['LACTIC ACID', 'CITRIC ACID'], ['BHA'], ['HYALURONIC ACID', 'HYDROLYZED HYALURONIC ACID', 'GLYCERIN']]","['vitamin c', 'retinol', 'aha-exfoliant', 'bha-deep exfoliant', 'humectant']","['DO NOT use with AHA/BHA', 'DO NOT use with benzoyl peroxide', 'DO NOT use with vit C', 'DO NOT use with retinol, vitC']",MAELOVE GLOW MAKER SERUM,12.727272727272727,0,,0.0,1
111 Skin Y Theorem Repair Light Serum,"['AQUA', 'GLYCERIN', 'SORBITOL', 'ISOPROPYL MYRISTATE', 'ALCOHOL', 'POLYACRYLATE CROSSPOLYMER-6', 'SODIUM ASCORBYL PHOSPHATE', 'ACETYL CYSTEINE', 'ESCIN', 'NIACINAMIDE', 'CALENDULA OFFICINALIS (MARIGOLD / SOUCI) FLOWER EXTRACT', 'CISTUS INCANUS (PINK ROCK ROSE / CISTE ROSE) FLOWER/LEAF/STEM EXTRACT', 'ALOE BARBADENSIS (ALOE VERA) LEAF EXTRACT', 'CENTELLA ASIATICA (GOTU KOLA) EXTRACT', 'AESCULUS HIPPOCASTANUM (HORSE CHESTNUT / MARRON) SEED EXTRACT', 'LECITHIN', 'BETA-SITOSTEROL', 'SOY ISOFLAVONES', 'GLYCOSPHINGOLIPIDS', 'POLYGLYCERYL-6 LAURATE', 'POLYGLYCERYL-10 OLEATE', 'CARBOMER', 'HYDROXYACETOPHENONE', '1', '2-HEXANEDIOL', 'CAPRYLYL GLYCOL', 'SORBITAN PALMITATE', 'SODIUM HYDROXIDE', 'PHENYLPROPANOL', 'PARFUM / FRAGRANCE']",serum,30,"[['SODIUM ASCORBYL PHOSPHATE'], ['GLYCERIN'], ['NIACINAMIDE']]","['vitamin c', 'humectant', 'niacinamide']","['DO NOT use with AHA/BHA', 'DO NOT use with AHA/BHA']",Irene Forte Hibiscus Night Cream,10.344827586206897,0,,0.0,3
Cera Ve Skin Renewing Night Cream,"['AQUA', 'GLYCERIN', 'CAPRYLIC/CAPRIC TRIGLYCERIDE', 'BUTYROSPERMUM PARKII BUTTER / SHEA BUTTER', 'DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER', 'CYCLOPENTASILOXANE', 'GLYCERYL STEARATE SE', 'CETYL ALCOHOL', 'DIMETHICONE', 'SACCHARIDE ISOMERATE', 'STEARIC ACID', 'PALMITIC ACID', 'GLYCINE SOJA STEROLS / SOYBEAN STEROLS', 'ALLANTOIN', 'CERAMIDE NP', 'CERAMIDE AP', 'CERAMIDE EOP', 'CARBOMER', 'NIACINAMIDE', 'CETEARYL ALCOHOL', 'BEHENTRIMONIUM METHOSULFATE', 'SODIUM HYDROXIDE', 'MYRISTIC ACID', 'SODIUM LAUROYL LACTYLATE', 'SODIUM BENZOATE', 'SODIUM CITRATE', 'SODIUM HYALURONATE', 'CHOLESTEROL', 'PHENOXYETHANOL', 'TOCOPHEROL', 'TRIPEPTIDE-1', 'LAURETH-9', 'CITRIC ACID', 'CAPROOYL TETRAPEPTIDE-3', 'BIOSACCHARIDE GUM-1', 'PHYTOSPHINGOSINE', 'XANTHAN GUM', 'DEXTRAN', 'ETHYLHEXYLGLYCERIN', 'BUTYLENE GLYCOL']",moisturizer,40,"[['CITRIC ACID'], ['SODIUM HYALURONATE', 'GLYCERIN'], ['NIACINAMIDE'], 'TRIPEPTIDE-1', 'CAPROOYL TETRAPEPTIDE-3', 'CERAMIDE NP', 'CERAMIDE AP', 'CERAMIDE EOP']","['aha-exfoliant', 'humectant', 'niacinamide', 'peptides', 'ceramides']","['DO NOT use with vit C', 'DO NOT use with AHA/BHA']",Irene Forte Hibiscus Night Cream,17.46031746031746,4,"['Irene Forte Hibiscus Night Cream', 'Skin Medica 0.5 Retinol', 'Estee Lauder  Advaned Night Repair Eye Gel Crème', 'Suday Riley Lactic Acid Serum']",1.0,3
Irene Forte Hibiscus Night Cream,"['AQUA', 'DICAPRYLYL ETHER', 'PROPYLHEPTYL CAPRYLATE', 'GLYCERIN', 'POLYGLYCERYL-2 DIPOLYHYDROXYSTEARATE', 'OLEA EUROPAEA (OLIVE) FRUIT OIL', 'HYDROGENATED OLIVE OIL', 'HYDROLYZED HIBISCUS ESCULENTUS EXTRACT', 'MAGNESIUM SULFATE', 'DEXTRIN', 'PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL', 'TOCOPHERYL ACETATE', 'BUTYROSPERMUM PARKII (SHEA) BUTTER', 'PEG-30 DIPOLYHYDROXYSTEARATE', 'ZINC STEARATE', 'SILICA DIMETHYL SILYLATE', 'GLYCINE SOJA OIL', 'OLEA EUROPAEA (OLIVE) OIL UNSAPONIFIABLES', 'SODIUM HYALURONATE', 'SODIUM LAUROYL LACTYLATE', 'PISUM SATIVUM (PEA) EXTRACT', 'TROPOLONE', 'CERAMIDE NP', 'CAPRYLYL GLYCOL', 'CERAMIDE AP', 'CERAMIDE EOP', 'PHYTOSPHINGOSINE', 'CHOLESTEROL', 'XANTHAN GUM', 'TOCOPHEROL', 'HYDROXYACETOPHENONE', '1', '2-HEXANEDIOL', 'PARFUM (FRAGRANCE)']",moisturizer,34,"[['SODIUM HYALURONATE', 'GLYCERIN'], 'CERAMIDE NP', 'CERAMIDE AP', 'CERAMIDE EOP']","['humectant', 'ceramides']",[],Cera Ve Skin Renewing Night Cream,17.46031746031746,2,"['111 Skin Y Theorem Repair Light Serum', 'Cera Ve Skin Renewing Night Cream']",0.5,3
Lacome Advanced Genifique Face Serum,"['AQUA', 'BIFIDA FERMENT LYSATE', 'GLYCERIN', 'ALCOHOL DENAT.', 'DIMETHICONE', 'HYDROXYETHYLPIPERAZINE ETHANE SULFONIC ACID', 'ASCORBYL GLUCOSIDE', 'SODIUM HYALURONATE', 'SODIUM HYDROXIDE', 'SODIUM BENZOATE', 'PHENOXYETHANOL', 'ADENOSINE', 'FAEX EXTRACT/YEAST EXTRACT/EXTRAIT DE LEVURE', 'PEG-20 METHYL GLUCOSE SESQUISTEARATE', 'PEG-60 HYDROGENATED CASTOR OIL', 'SALICYLOYL PHYTOSPHINGOSINE', 'AMMONIUM POLYACRYLDIMETHYLTAURAMIDE/AMMONIUM POLYACRYLOYLDIMETHYL TAURATE', 'LIMONENE', 'XANTHAN GUM', 'CAPRYLYL GLYCOL', 'DISODIUM EDTA', 'OCTYLDODECANOL', 'CITRONELLOL', 'FRAGRANCE']",serum,24,"[['ASCORBYL GLUCOSIDE'], ['SODIUM HYALURONATE', 'GLYCERIN']]","['vitamin c', 'humectant']",['DO NOT use with AHA/BHA'],MAELOVE GLOW MAKER SERUM,21.052631578947366,2,"['Triple Lipid Restore', 'Lacome Advanced Genifique Light Pearl Eye Serum']",0.5,1
Lacome Advanced Genifique Light Pearl Eye Serum,"['AQUA', 'BIFIDA FERMENT LYSATE', 'PROPANEDIOL', 'GLYCERIN', 'ALCOHOL DENAT', 'DIMETHICONE', 'METHYL GLUCETH-20', 'CI 77891 / TITANIUM DIOXIDE', 'T-BUTYL ALCOHOL', 'ASCORBYL GLUCOSIDE', 'MICA', 'ESCIN', 'TOCOPHERYL ACETATE', 'LACTIC ACID', 'LACTOBACILLUS', 'MADECASSOSIDE', 'SODIUM BENZOATE', 'SODIUM HYALURONATE', 'SODIUM HYDROXIDE', 'ADENOSINE', 'FAEX EXTRACT / YEAST EXTRACT / EXTRAIT DE LEVURE', 'ACETIC ACID', 'CAFFEINE', 'ARGININE', 'CHLORPHENESIN', 'POLYACRYLAMIDE', 'CELLULOSE', 'SILICA', 'POLYMNIA SONCHIFOLIA ROOT JUICE', 'MALTODEXTRIN', 'SALICYLOYL PHYTOSPHINGOSINE', 'CHLORELLA VULGARIS EXTRACT', 'DIMETHICONE/VINYL DIMETHICONE CROSSPOLYMER', 'AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER ', 'DIMETHICONOL', 'PENTAERYTHRITYL TETRAETHYLHEXANOATE', 'MANNOSE • XANTHAN GUM', 'PENTYLENE GLYCOL', 'PENTAERYTHRITYL', 'TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE', 'ALPHA-GLUCAN OLIGOSACCHARIDE', 'CAPRYLY GLYCOL', 'CAPRYLIC/ CAPRIC TRIGLYCERIDE', 'BIS-PEG/PPG-16/16 PEG/PPG-16/16 DIMETHICONE', 'CITRIC ACID', 'ALUMINUM', 'STARCH OCTENYLSUCCINATE', 'LAURETH-7', 'C13-14', 'ISOPARAFFIN', '(F.I.L. : N283738/1)']",serum,51,"[['ASCORBYL GLUCOSIDE'], ['LACTIC ACID', 'CITRIC ACID'], ['SODIUM HYALURONATE', 'GLYCERIN']]","['vitamin c', 'aha-exfoliant', 'humectant']","['DO NOT use with AHA/BHA', 'DO NOT use with vit C']",Lacome Advanced Genifique Face Serum,15.384615384615385,0,,0.0,1
Skin Medica 0.5 Retinol,"['AQUA', 'CETYL ETHYLHEXANOATE', 'GLYCINE SOJA OIL', 'CAPRYLIC/CAPRIC TRIGLYCERIDE', 'NIACINAMIDE', 'POLYACRYLATE-13', 'SQUALANE', 'RETINOL', 'PALMITOYL TRIPEPTIDE-8', 'DUNALIELLA SALINA EXTRACT', 'MAGNOLIA GRANDIFLORA BARK EXTRACT', 'TOCOPHEROL', 'TOCOTRIENOLS', 'CERAMIDE 3', 'BISABOLOL', 'PHYTOSTEROLS', 'SQUALENE', 'TOCOPHERYL ACETATE', 'ORYZA SATIVA BRAN CERA', 'GLYCERIN', 'POLYSORBATE 20', 'BUTYLENE GLYCOL', 'CETYL PALMITATE', 'LAURETH-23', 'TRIDECETH-6 PHOSPHATE', 'SODIUM HYDROXIDE', 'DICAPRYLYL ETHER', 'LAURYL ALCOHOL', 'POLYISOBUTENE', 'DEXTRAN', 'POTASSIUM SORBATE', 'DISODIUM EDTA', 'PHENOXYETHANOL', 'ETHYLHEXYLGLYCERIN']",serum,34,"[['RETINOL'], ['GLYCERIN'], ['NIACINAMIDE'], 'PALMITOYL TRIPEPTIDE-8', 'CERAMIDE 3']","['retinol', 'humectant', 'niacinamide', 'peptides', 'ceramides']","['DO NOT use with benzoyl peroxide', 'DO NOT use with AHA/BHA']",Cera Ve Skin Renewing Night Cream,15.625,1,['Medik8 Retinol'],0.25,3
Skinceuticals CE Ferulic,"['AQUA', 'ETHOXYDIGLYCOL', 'ASCORBIC ACID', 'GLYCERIN', 'PROPYLENE GLYCOL', 'LAURETH-23', 'PHENOXYETHANOL', 'TOCOPHEROL', 'TRIETHANOLAMINE', 'FERULIC ACID', 'PANTHENOL', 'SODIUM HYALURONATE']",serum,12,"[['ASCORBIC ACID'], ['SODIUM HYALURONATE', 'GLYCERIN']]","['vitamin c', 'humectant']",['DO NOT use with AHA/BHA'],Dr Brenner C Serum,50.0,3,"['Dr Brenner C Serum', 'Kiels Hyalouronic Acid Serum', 'MAELOVE GLOW MAKER SERUM']",0.75,4
